Baiton Hotel,Nine Tree Hotel Dongdaemun,Novotel Amassador Dongdaemun,Dongdaemun DDP,Toyoko Inn (Splaisir Dongdaemun),Toegyero 6(yuk)ga (Skypark Dongdaemun),PJ Hotel (Chungmu-ro stn),G3 Hotel (Namsan Hanok Village),Myeong-dong stn,Bank of Korea (Splaisir Myeong-dong),Seoul stn. (Exit 3),Seoul stn Transfer Centre,Four Points by Sheraton Seoul (Garwol-dong),Sookmyung Women's Univ.,Samgakji stn,Yongsan Post-Office,Sinyongsan stn,Hangang Bridge North End,Incheon Airport Terminal 2,Incheon Airport Terminal 1
4:30,4:32,4:34,4:36,4:38,4:40,4:30,4:32,4:34,4:30,4:33,4:35,4:37,4:39,4:41,4:43,4:45,4:47,5:39,5:29
4:40,4:42,4:44,4:46,4:48,4:50,4:42,4:44,4:46,4:37,4:40,4:42,4:44,4:46,4:48,4:50,4:52,4:54,6:04,5:59
4:52,4:54,4:56,4:58,5:00,5:02,4:52,4:54,4:56,4:49,4:52,4:54,4:56,4:58,5:00,5:02,5:04,5:06,6:24,6:24
5:04,5:06,5:08,5:10,5:12,5:14,5:04,5:06,5:08,4:59,5:02,5:04,5:06,5:08,5:10,5:12,5:14,5:16,6:39,6:44
5:17,5:19,5:21,5:23,5:25,5:27,5:16,5:18,5:20,5:11,5:14,5:16,5:18,5:20,5:22,5:24,5:26,5:28,6:53,6:59
5:30,5:32,5:34,5:36,5:38,5:40,5:29,5:31,5:33,5:23,5:26,5:28,5:30,5:32,5:34,5:36,5:38,5:40,7:07,7:13
5:43,5:45,5:47,5:49,5:51,5:53,5:42,5:44,5:46,5:36,5:39,5:41,5:43,5:45,5:47,5:49,5:51,5:53,7:21,7:27
5:56,5:58,6:00,6:02,6:04,6:06,5:55,5:57,5:59,5:49,5:52,5:54,5:56,5:58,6:00,6:02,6:04,6:06,7:33,7:41
6:09,6:11,6:13,6:15,6:17,6:19,6:08,6:10,6:12,6:02,6:05,6:07,6:09,6:11,6:13,6:15,6:17,6:19,7:46,7:53
6:22,6:24,6:26,6:28,6:30,6:32,6:21,6:23,6:25,6:15,6:18,6:20,6:22,6:24,6:26,6:28,6:30,6:32,7:59,8:06
6:36,6:38,6:40,6:42,6:44,6:46,6:34,6:36,6:38,6:28,6:31,6:33,6:35,6:37,6:39,6:41,6:43,6:45,8:09,8:19
6:50,6:52,6:54,6:56,6:58,7:00,6:48,6:50,6:52,6:41,6:44,6:46,6:48,6:50,6:52,6:54,6:56,6:58,8:19,8:29
7:03,7:05,7:07,7:09,7:11,7:13,7:02,7:04,7:06,6:55,6:58,7:00,7:02,7:04,7:06,7:08,7:10,7:12,8:29,8:39
7:16,7:18,7:20,7:22,7:24,7:26,7:15,7:17,7:20,7:09,7:12,7:14,7:16,7:18,7:20,7:22,7:24,7:26,8:39,8:49
7:29,7:31,7:33,7:35,7:37,7:39,7:28,7:30,7:33,7:24,7:27,7:29,7:31,7:33,7:35,7:37,7:39,7:41,8:51,8:59
7:42,7:44,7:46,7:48,7:50,7:52,7:41,7:43,7:46,7:37,7:40,7:42,7:44,7:46,7:48,7:50,7:52,7:54,9:04,9:11
7:55,7:57,7:59,8:01,8:03,8:05,7:54,7:56,7:59,7:50,7:53,7:55,7:57,7:59,8:01,8:03,8:05,8:07,9:17,9:24
8:08,8:10,8:12,8:14,8:16,8:18,8:07,8:09,8:12,8:03,8:06,8:08,8:10,8:12,8:14,8:16,8:18,8:20,9:30,9:37
8:21,8:23,8:25,8:27,8:29,8:31,8:20,8:22,8:25,8:16,8:19,8:21,8:23,8:25,8:27,8:29,8:31,8:33,9:42,9:50
8:34,8:36,8:38,8:40,8:42,8:44,8:33,8:35,8:38,8:29,8:32,8:34,8:36,8:38,8:40,8:42,8:44,8:46,9:54,10:02
8:47,8:49,8:51,8:53,8:55,8:57,8:46,8:48,8:51,8:42,8:45,8:47,8:49,8:51,8:53,8:55,8:57,8:59,10:06,10:14
9:00,9:02,9:04,9:06,9:08,9:10,8:59,9:01,9:04,8:55,8:58,9:00,9:02,9:04,9:06,9:08,9:10,9:12,10:18,10:26
9:12,9:14,9:16,9:18,9:20,9:22,9:12,9:14,9:17,9:08,9:11,9:13,9:15,9:17,9:19,9:21,9:23,9:25,10:30,10:38
9:24,9:26,9:28,9:30,9:32,9:34,9:24,9:26,9:29,9:21,9:24,9:26,9:28,9:30,9:32,9:34,9:36,9:38,10:42,10:50
9:36,9:38,9:40,9:42,9:44,9:46,9:36,9:38,9:41,9:33,9:36,9:38,9:40,9:42,9:44,9:46,9:48,9:50,10:54,11:02
9:48,9:50,9:52,9:54,9:56,9:58,9:48,9:50,9:53,9:45,9:48,9:50,9:52,9:54,9:56,9:58,10:00,10:02,11:06,11:14
10:00,10:02,10:04,10:06,10:08,10:10,10:00,10:02,10:05,9:57,10:00,10:02,10:04,10:06,10:08,10:10,10:12,10:14,11:18,11:26
10:10,10:12,10:14,10:16,10:18,10:20,10:12,10:14,10:17,10:09,10:12,10:14,10:16,10:18,10:20,10:22,10:24,10:26,11:30,11:38
10:20,10:22,10:24,10:26,10:28,10:30,10:22,10:24,10:27,10:21,10:24,10:26,10:28,10:30,10:32,10:34,10:36,10:38,11:42,11:50
10:30,10:32,10:34,10:36,10:38,10:40,10:32,10:34,10:37,10:31,10:34,10:36,10:38,10:40,10:42,10:44,10:46,10:48,11:54,12:02
10:40,10:42,10:44,10:46,10:48,10:50,10:42,10:44,10:47,10:41,10:44,10:46,10:48,10:50,10:52,10:54,10:56,10:58,12:06,12:14
10:50,10:52,10:54,10:56,10:58,11:00,10:52,10:54,10:57,10:51,10:54,10:56,10:58,11:00,11:02,11:04,11:06,11:08,12:18,12:26
11:00,11:02,11:04,11:06,11:08,11:10,11:02,11:04,11:07,11:01,11:04,11:06,11:08,11:10,11:12,11:14,11:16,11:18,12:29,12:38
11:12,11:14,11:16,11:18,11:20,11:22,11:12,11:14,11:17,11:11,11:14,11:16,11:18,11:20,11:22,11:24,11:26,11:28,12:39,12:49
11:24,11:26,11:28,11:30,11:32,11:34,11:24,11:26,11:29,11:21,11:24,11:26,11:28,11:30,11:32,11:34,11:36,11:38,12:49,12:59
11:36,11:38,11:40,11:42,11:44,11:46,11:36,11:38,11:41,11:33,11:36,11:38,11:40,11:42,11:44,11:46,11:48,11:50,13:01,13:09
11:48,11:50,11:52,11:54,11:56,11:58,11:48,11:50,11:53,11:45,11:48,11:50,11:52,11:54,11:56,11:58,12:00,12:02,13:13,13:21
12:00,12:02,12:04,12:06,12:08,12:10,12:00,12:02,12:05,11:57,12:00,12:02,12:04,12:06,12:08,12:10,12:12,12:14,13:24,13:33
12:12,12:14,12:16,12:18,12:20,12:22,12:12,12:14,12:17,12:09,12:12,12:14,12:16,12:18,12:20,12:22,12:24,12:26,13:35,13:44
12:24,12:26,12:28,12:30,12:32,12:34,12:24,12:26,12:29,12:21,12:24,12:26,12:28,12:30,12:32,12:34,12:36,12:38,13:47,13:55
12:36,12:38,12:40,12:42,12:44,12:46,12:36,12:38,12:41,12:33,12:36,12:38,12:40,12:42,12:44,12:46,12:48,12:50,13:57,14:07
12:48,12:50,12:52,12:54,12:56,12:58,12:48,12:50,12:53,12:45,12:48,12:50,12:52,12:54,12:56,12:58,13:00,13:02,14:07,14:17
