Summit hotel,The Splaisir Dongdaemun,Dongdaemun Design Plaza(DDP),JW Marriott dongdaemun,Dongdaemun history culture park,Ambassador Seoul Pullman,Jangchung Gymnasium,Yaksu station,Beotigogae station,Grand Hyatt Seoul,Itaewon 2-dong community service center,Seoul Bosung girls' middle&high school,Millenium Seoul Hilton,Seoul station,Ramada Hotel & Suites Namdaemun,Gongdeok station(Lotte City hotel Mapo),Mapo station(Seoul Garden hotel),Incheon Airport Terminal 2,Incheon Airport Terminal 1
4:00,4:01,4:04,4:07,4:08,4:16,4:18,4:20,4:21,4:26,4:28,4:29,4:33,4:38,4:41,4:48,4:53,5:45,6:05
4:30,4:31,4:34,4:37,4:38,4:46,4:48,4:50,4:51,4:56,4:58,4:59,5:03,5:08,5:11,5:18,5:23,6:25,6:45
5:10,5:11,5:14,5:17,5:18,5:26,5:28,5:30,5:31,5:36,5:38,5:39,5:43,5:48,5:51,5:58,6:03,7:15,7:35
5:55,5:56,5:59,6:02,6:03,6:11,6:13,6:15,6:16,6:21,6:23,6:24,6:28,6:33,6:36,6:43,6:48,7:55,8:15
6:35,6:36,6:39,6:42,6:43,6:51,6:53,6:55,6:56,7:01,7:03,7:04,7:08,7:13,7:16,7:23,7:28,8:40,9:00
7:20,7:21,7:24,7:27,7:28,7:36,7:38,7:40,7:41,7:46,7:48,7:49,7:53,7:58,8:01,8:08,8:13,9:25,9:45
7:55,7:56,7:59,8:02,8:03,8:11,8:13,8:15,8:16,8:21,8:23,8:24,8:28,8:33,8:36,8:43,8:48,10:00,10:20
8:40,8:41,8:44,8:47,8:48,8:56,8:58,9:00,9:01,9:06,9:08,9:09,9:13,9:18,9:21,9:28,9:33,10:40,11:00
9:25,9:26,9:29,9:32,9:33,9:41,9:43,9:45,9:46,9:51,9:53,9:54,9:58,10:03,10:06,10:13,10:18,11:25,11:45
10:10,10:11,10:14,10:17,10:18,10:31,10:33,10:35,10:36,10:43,10:45,10:46,10:53,10:58,11:01,11:08,11:13,11:55,12:15
10:55,10:56,10:59,11:02,11:03,11:16,11:18,11:20,11:21,11:28,11:30,11:31,11:38,11:43,11:46,11:53,11:58,12:30,12:50
11:40,11:41,11:44,11:47,11:48,12:01,12:03,12:05,12:06,12:13,12:15,12:16,12:23,12:28,12:31,12:38,12:43,13:05,13:25
12:10,12:11,12:14,12:17,12:18,12:31,12:33,12:35,12:36,12:43,12:45,12:46,12:53,12:58,13:01,13:08,13:13,13:45,14:05
12:50,12:51,12:54,12:57,12:58,13:11,13:13,13:15,13:16,13:23,13:25,13:26,13:33,13:38,13:41,13:48,13:53,14:25,14:45
13:30,13:31,13:34,13:37,13:38,13:51,13:53,13:55,13:56,14:03,14:05,14:06,14:13,14:18,14:21,14:28,14:33,15:10,15:30
14:05,14:06,14:09,14:12,14:13,14:26,14:28,14:30,14:31,14:38,14:40,14:41,14:48,14:53,14:56,15:03,15:08,15:45,16:05
14:35,14:36,14:39,14:42,14:43,14:56,14:58,15:00,15:01,15:08,15:10,15:11,15:18,15:23,15:26,15:33,15:38,16:30,16:50
15:10,15:11,15:14,15:17,15:18,15:31,15:33,15:35,15:36,15:43,15:45,15:46,15:53,15:58,16:01,16:08,16:13,17:05,17:25
15:45,15:46,15:49,15:52,15:53,16:06,16:08,16:10,16:11,16:18,16:20,16:21,16:28,16:33,16:36,16:43,16:48,17:35,17:55
16:30,16:31,16:34,16:37,16:38,16:51,16:53,16:55,16:56,17:03,17:05,17:06,17:13,17:18,17:21,17:28,17:33,18:10,18:30
17:15,17:16,17:19,17:22,17:23,17:36,17:38,17:40,17:41,17:48,17:50,17:51,17:58,18:03,18:06,18:13,18:18,18:50,19:10
17:55,17:56,17:59,18:02,18:03,18:16,18:18,18:20,18:21,18:28,18:30,18:31,18:38,18:43,18:46,18:53,18:58,19:35,19:55
18:40,18:41,18:44,18:47,18:48,19:01,19:03,19:05,19:06,19:13,19:15,19:16,19:23,19:28,19:31,19:38,19:43,20:15,20:35
19:15,19:16,19:19,19:22,19:23,19:36,19:38,19:40,19:41,19:48,19:50,19:51,19:58,20:03,20:06,20:13,20:18,20:55,21:15
,,,,,,,,,,,,,,,,,21:40,22:00
,,,,,,,,,,,,,,,,,22:15,22:35
,,,,,,,,,,,,,,,,,22:45,23:05
